skip	order_id	product_id	description	price	quantity	is_ready	outlay	outlayPacking
103	44	1	Черно-розовый набор Девичник	130	1	1	49	0
104	45	1	набор черно-розовый девичник	135	1	1	49	0
105	45	1	Гирлянда Девичник мейсон с пончиком	90	1	1	12,4	0
106	46	1	Набор Девичник, черно-розовый с изменениями!	130	1	1	53,25	0
107	47	1	Гирлянда Мейсон Девичник	100	1	1	12,4	0
108	47	1	речевые облачка нежные 12 шт	130	1	1	51	0
109	48	1	Усы и губки из фетра	60	1	1	30	0
110	48	1	Гирлянда мейсон Дивич вечир	115	1	1	18,1	0
111	48	1	Фотобутафория бло-розовая укр	135	1	1	49	0
112	49	1	Черно-розовый набор Девичник	130	1	1	49	0
113	50	1	Черно-розовый набор Девичник + 1 табличка и поменять	150	1	1	53,25	0
114	51	1	Набор черно-розовы девичник	140	1	1	49	0
115	52	1	Набор черно- розовый Девичник	140	1	1	49	0
116	53	1	Набор бело-розовый девичник	140	1	1	49	0
117	54	1	Гирлянда Девичник цвет Сикрет	75	1	1	8,4	0
118	54	1	Гирлянда фамилия  Иванча цвет Сикрет	50	1	1	8,7	0
119	55	1	таблички 6 шт золото с белым + 4 губ	100	1	1	14,5	0
120	56	1	Зелено-черный с золотом Девичник	160	1	1	49	0
121	57	1	Черно-розовый девичник	135	1	1	49	0
122	57	1	Фамилия гирлянда Снигур бордовая крупнее	75	1	1	12,7	0
123	58	1	Гирлянда-фамилия в красном  Фарафонова	85	1	1	12,7	0
124	58	1	Пригласительные на Девичник 9 шт	54	1	1	36,5	0
125	58	1	Гирлянда Микки	85	1	1	12,4	0
126	58	1	Набор Микки на палочках	80	1	1	29,75	0
127	58	1	Черно-розовый набор Девичник	150	1	1	49	0
128	59	1	Таблички Виктория Сикрет	85	1	1	15	0
129	59	1	Гирлянда фамилия Лахман (распечатать)	60	1	1	8,7	0
130	60	1	Гирлянда Кристине 2 года	100	1	1	12,6	0
131	61	1	Набор Оскар пати	140	1	1	27,25	0
132	62	1	Гирлянды-звездочки розовые 3 м	45	1	1	0,5	0
133	62	1	гирлянды-звездочки золото 3 м	60	1	1	15	0
134	62	1	Гирлянда Хеппи бездей балерина	135	1	1	16,5	0
135	62	1	Фотобутафория розовая балерина	85	1	1	16,5	0
136	63	1	Метрика в рамке	70	1	1	39	0
137	63	1	Гирлнды-сердечки	50	1	1	1,5	0
138	63	1	гилянда с текстом розовая	115	1	1	12,7	0
139	64	1	Облачка цветные нежные 12 шт Девични	120	1	1	51	0
140	65	1	Подвязка с жемчугом	45	1	1	0	0
141	65	1	Номера столов 10 шт	80	1	1	40	0
142	66	1	Набор розово-черный переделать в красно-голубой Девичник + Невеста	140	1	1	49,25	0
143	67	1	Гирлянда Just Married розовая	60	1	1	12,6	0
144	67	1	Таблички Mr Mrs розовые	60	1	1	8,5	0
145	67	1	Гирлянда Девичник красный мейсон	70	1	1	12,4	0
146	67	1	Гирлянда-фамилия розовые кружки	50	1	1	9	0
147	67	1	Набор бело-розовый Девичник	140	1	1	49	0
148	67	1	сердечки Муж жена	30	1	1	4,5	0
149	67	1	Фотобутафория нейтральная галстуки	90	1	1	16	0
150	68	1	Розово-белый Девичник набор	145	1	1	49	0
151	69	1	Фотобутафория черная девичник брутал	100	1	1	42,5	0
152	69	1	Гирлянда черная с золотом девичник	85	1	1	12,4	0
153	70	1	Набор Свадебный со стрелками	70	1	1	3,25	0
154	71	1	Черно-розовый девичник	145	1	1	49	0
155	72	1	Набор фотобутафории Виктория Сикрет	75	1	1	15	0
156	73	1	Гирлянда Анастасия Сикрет пати	160	1	1	20,7	0
157	73	1	Фамилия ковальчук черно-золотая	70	1	1	12,7	0
158	73	1	Набор бело-розовый фотобутафории Девичник	150	1	1	49	0
159	74	1	Гирлянда-фамилия Галла розовая	50	1	1	4,3	0
160	74	1	Гирлянда Девичник розовая	65	1	1	8,4	0
161	74	1	Приглашение для невесты	10	1	1	8,4	0
162	74	1	набор черно-розовый девичник	150	1	1	49	0
163	75	1	Черно-розовый набор Девичник (одинаковый с гирляндой)	130	1	1	49	0
164	75	1	Гирлянда Девичник мейсон (одинаковый с табличками)	90	1	1	12,4	0
165	76	1	Бело-розовый на укр Девичник	150	1	1	49	0
166	77	1	Гирлянда фамилия Захарченко роз круг	75	1	1	12,7	0
167	77	1	Девичник розовая гирлянда	60	1	1	8,07	0
168	78	1	Гирлянда фамилия роз квадрат Алексеева	70	1	1	16,7	0
169	78	1	Набор бело-розовый укр	130	1	1	49	0
170	78	1	сертификат невесты	50	1	1	4	0
171	79	1	Фотобутафория сборная 17 шт,	70	1	1	4,25	0
172	79	1	Гирлянда в горох	100	1	1	12,7	0
173	80	1	гирлянда-фамилия Федорина круг фиол	70	1	1	12,7	0
174	80	1	набор черно-розовый девичник	150	1	1	49	0
175	81	1	гирлянда девичник розовочерная (роз как на бутафории)	75	1	1	8,3	0
176	81	1	гирлянда сердечки ярко-розовые с белым 3м	50	1	1	1,6	0
177	81	1	черно розовый набор девичник	150	1	1	49	0
178	82	1	черно-розовый девичник	150	1	1	49	0
179	83	1	Бело-розовый на укр Девичник	150	1	1	49	0
180	83	1	Гирлянда ананасы Дивич-вечир	90	1	1	24,4	0
181	83	1	Набор Гавайский	100	1	1	31,5	0
182	84	1	Гирлянда мейсон яркая Девичник	100	1	1	12,4	0
183	84	1	Фотобутафория с ушками девичник	85	1	1	16,25	0
184	85	1	Бело-розовый набор фотобут Девичник	150	1	1	49	0
185	86	1	черно-розовый набор  Девичник	150	1	1	49	0
186	86	1	Черно-розоваю гирлянда Девичник	75	1	1	8,4	0
187	87	1	Гирлянда-фамилия Ковеня Виктория Сикрет	55	1	1	4,7	0
188	88	1	Бело-розовый на укр Девичник	150	1	1	49	0
189	88	1	Пригласительные на Девичник 16 шт	160	1	1	25	0
190	88	1	гирлянда Дивич-вечир на укр языке	120	1	1	16,4	0
191	89	1	Гирлянда Соломия 1 год роз-гол	90	1	1	0	0
192	89	1	Гирлянда-сердечки роз-гол 6 м	100	1	1	2	0
193	89	1	Набор фотобутафории	140	1	1	0	0
194	90	1	Усы и губки бело-золотые 13 шт	60	1	1	7,5	0
195	90	1	усы и губки черно-золотые 13 шт	60	1	1	7	0
196	90	1	Таблички MR MRS черные	75	1	1	8,4	0
197	91	1	Гирлянда звездочки 3 м (роз и золото)	60	1	1	8	0
198	91	1	Гирлянда Евочке 1 годик ро-золото	95	1	1	16,7	0
199	92	1	Гирлянда HB на синем золото	115	1	1	16,6	0
200	92	1	Гирлянда звездочки 3 м (золото)	60	1	1	15	0
201	93	1	Таблички черные на девичник брутал	110	1	1	42,5	0
202	94	1	набор фотобутафории с золотом Девичник+3 таблички	100	1	1	23,5	0
203	94	1	Набор фотобут-рии свадебной с гол птичками	85	1	1	7,5	0
204	95	1	Гирлянда-фамилия Зосич розовая как мейсон	50	1	1	8,7	0
205	95	1	Облачка цветные нежные 12 шт Девични	120	1	1	51	0
206	95	1	Гирлянда Девичник мейсон светло розовая	100	1	1	12,5	0
207	96	1	Маски ученых 6 шт	80	1	1	29,5	0
208	97	1	Гирлянда-фамилия в бело-золотом	90	1	1	12,8	0
209	97	1	набор фотобутафории на Девичник бело-золотой на рус языке	60	1	1	14,5	0
210	97	1	гирлянда Девичник бело-золотая	60	1	1	12,4	0
211	98	1	Набор бело-розовый Девичник	150	1	1	49	0
212	99	1	Гирлянда-фамилия Алисиенко	75	1	1	12,8	0
213	100	1	Таблички нежные 12 шт	120	1	1	51	0
214	101	1	Набор фотобутафории с ушками Девичник	90	1	1	16,25	0
215	102	1	Черно-розовый набор Девичник	150	1	1	49	0
216	103	1	Гирлянда-фамилия в розово-бирюзовом Зубенко	70	1	1	8,8	0
217	103	1	Набор табличек на Девичник новый бирюза и 5 губ и кольцо	140	1	1	44	0
218	104	1	Гирлянда ярко-роз Анжес пати	100	1	1	12,5	0
219	104	1	Гирлянда звездочки золотые 6 м	120	1	1	27	0
220	105	1	Набор тиффани Девичник	80	1	1	6,25	0
221	106	1	Гирлянда Микки Девичник	75	1	1	12,3	0
222	106	1	Фотобутафория Микки  девичник	100	1	1	29,75	0
223	107	1	Дерево с отпечатками на 3.09	150	1	1	42	0
224	108	1	Гирлянда-фамилия Бидняк фиг квадрат роз-серебр	70	1	1	16	0
225	108	1	гирлянда девичник ро-серебр флажок	70	1	1	18	0
226	108	1	гирлянда звездочки ро-серебр 3 м	60	1	1	20	0
227	108	1	Фотобутафория в серебре набор (золотой) 9 шт на рус языке	100	1	1	22,25	0
228	109	1	Таблички Пинап Девичник 15 шт	185	1	1	0	0
229	109	1	Набор фотобутафории Пинап + прическа и очки	115	1	1	0	0
230	110	1	гирлянда-фамидия Хмара фиол кружок	65	1	1	4,5	0
231	111	1	набор черно-розовый девичник	150	1	1	49	0
232	111	1	Гирлянда мейсон Девичник яркая	100	1	1	12,6	0
233	112	1	Дерево пожеланий  Олег и Ирина на укр яз	200	1	1	78	0
234	113	1	Набор фотобут  золотой 6 шт+1 на укр языке	90	1	1	30,75	0
235	114	1	Дерево пожеланий шарики Ольга и Виталий	220	1	1	36	0
236	115	1	Гирлянда звезды золото 3 м	50	1	1	23	0
237	115	1	Гирлянда звезды розовые 3 м	40	1	1	1,7	0
238	115	1	Гирлянда кружки черно белые 3 м	40	1	1	1,7	0
239	115	1	трубочки 1 шт 3 грн  розовые (по 5 шт)	30	1	1	12	0
240	115	1	Топперы короткие (зубочистки) флажки  2 грн/шт 20 шт	40	1	1	18,5	0
241	115	1	Топперы длинные 4 грн/шт 10 шт	40	1	1	2,5	0
242	115	1	Гирлянда мужу 6 грн/символ	100	1	1	20,8	0
243	115	1	трубочки 1 шт 3 грн  черные (10 шт)	30	1	1	15	0
244	115	1	наклейки на бутылки 10 шт Арише	40	1	1	0,2	0
245	115	1	обертки на батончики 5 шт??	10	1	1	0,2	0
246	115	1	Фотобутафория набор 15 шт 75 грн	75	1	1	20	0
247	116	1	Набор Микки на палочках розовый на укр языке	90	1	1	29,75	0
248	117	1	Набор фотобутафории Виктория Сикрет	80	1	1	12	0
249	118	1	топперы шпажки	25	1	1	0,2	0
250	118	1	гирлянда фамилия флажки роз в точку	75	1	1	8,8	0
251	119	1	Набор бело-розовый Девичник на укр	150	1	1	49	0
252	120	1	набор бело-золотой девичник 9 шт	100	1	1	23,5	0
253	121	1	Набор Микки	85	1	1	29,75	0
254	122	1	набор фотобутафории новый светло-розовый	75	1	1	14,5	0
255	123	1	Набор черно-золотой усы и губки	50	1	1	7,5	0
256	123	1	набор черно-розовый девичник	150	1	1	49	0
257	123	1	Гирлянда павловська персик	80	1	1	17	0
258	124	1	Гирлянда Мишутке 1 годик босс молокосос  со звезд	115	1	1	16,6	0
259	124	1	Набор фотобутафории бирюза переделать	90	1	1	35	0
260	125	1	гирлянда фамилия Густей виктория сикрет	60	1	1	4,8	0
261	126	1	набор фотобутафории бело-розовый Девичник	150	1	1	49	0
